Mean_Speed,Estimated_Travel_Time,Traffic_Level,Total_Neighbours,Length,Rank
26.230703077046208,52.374120356773226,1,12,1373.81,1
10.476528517203405,64.17011120583078,1,10,672.28,1
11.083444006433128,15.21097592969711,1,11,168.59,1
12.765785791433661,4.163472650125911,1,12,53.15,1
13.332377344462124,16.61969161801723,1,11,221.58,1
3.895596555923112,120.32816881082894,1,12,468.75,1
4.761388674098999,8.388309111849155,1,10,39.94,1
8.055991463153623,5.1539280037601305,1,11,41.52,2
0.0,304830.0,1,12,304.83,1
13.092068128776734,12.875735013131989,1,10,168.57,1
27.506039230800024,6.986102156970237,2,10,192.16,1
11.395593784117649,5.5109019494469935,1,11,62.8,1
24.725147635970725,27.190130869914455,1,10,672.28,1
11.33386850441396,2.907215659610632,1,11,32.95,1
10.936046900013729,3.924635692623641,1,12,42.92,1
8.695860994166704,5.104727413395566,1,12,44.39,1
7.095469020213932,5.6289443144937845,1,12,39.94,1
11.531601370801217,9.756667472471154,1,12,112.51,1
0.0,32579.999999999996,1,11,32.58,1
12.946319846834026,3.1754197707430576,1,12,41.11,2
9.96986823428888,5.426350552350985,1,11,54.1,1
12.601193727170008,2.7227579182456854,1,12,34.31,2
12.685552301943803,3.3352903360397526,1,12,42.31,1
8.808414873216009,2.482853080240432,1,12,21.87,3
11.894941230724816,2.475001719550831,1,11,29.44,1
9.897271900863077,3.1372281484246516,1,12,31.05,2
2.8178778585977855,85.04272080807935,1,12,239.64,1
19.69580921046898,9.105998036611235,1,14,179.35,1
8.988224471799947,4.106484002018759,1,11,36.91,2
13.49822004730138,16.665160236810106,1,12,224.95,1
15.561353713268876,7.172255194278646,1,12,111.61,1
12.795432124935251,30.80396161313657,1,12,394.15,1
15.764778894079246,19.336141791020268,1,12,304.83,1
6.340352091565729,10.917374776722587,1,12,69.22,1
1.8405333626316862,28.187481440607737,1,12,51.88,1
27.59837490684779,7.921480911028401,1,12,218.62,1
12.000645609427437,3.153996979151346,1,12,37.85,1
25.890445226052655,53.06243241493517,2,12,1373.81,1
28.295301535944695,8.756224056678109,1,11,247.76,1
13.75341174534535,43.58773016469064,1,10,599.48,1
7.871625804854558,2.1863336020604938,1,11,17.21,2
11.795587907020868,3.955716354945516,1,12,46.66,2
11.784455610090363,4.455021236199253,1,11,52.5,1
11.297127786670206,3.2672021328776264,1,11,36.91,1
1.4671408322406934,19.28921844318025,1,12,28.3,1
15.840902539425974,4.0742628041153734,1,12,64.54,1
20.852247954756667,10.423816198215569,1,11,217.36,1
4.548441356234253,13.118779671241493,1,12,59.67,1
13.760159509877537,3.183102635442473,1,12,43.8,1
11.301603004221123,36.079837510457814,1,11,407.76,1
0.0,17829.999999999996,1,10,17.83,1
13.551254500900164,7.246561563246924,1,11,98.2,1
26.101214924370833,6.871327657339813,1,14,179.35,1
29.404647752323644,10.015083414040507,1,14,294.49,1
13.42150103733985,9.18675188840414,1,12,123.3,1
10.720621973666711,20.46989442767776,1,14,219.45,1
13.37811500481225,11.394729372947214,1,12,152.44,1
12.15798909588605,8.911835595959108,1,13,108.35,1
4.148208975070044,8.104702584187509,1,12,33.62,1
15.405587111995207,24.557973496863486,1,12,378.33,1
14.085951957105692,21.31272354997337,1,10,300.21,1
15.951051534730471,40.8092217984925,1,12,650.95,1
6.152529774443247,14.444464839350088,1,10,88.87,1
3.8657938241492955,3.15329801704635,1,8,12.19,3
4.977210800187596,1.8906171303102792,1,12,9.41,4
11.614986861610364,13.531655426961809,1,11,157.17,1
27.134984888678673,19.780368487470213,2,10,536.74,1
13.123769499310422,45.67894917931157,1,10,599.48,1
12.01236522127603,15.380817732111346,1,8,184.76,1
11.4661153306675,2.8736846830653513,1,11,32.95,2
13.923374136361794,2.566906530699529,1,11,35.74,2
2.734489467320963,6.0852309723110976,1,10,16.64,2
12.282240968293495,0.9607367279685852,1,10,11.8,3
27.256184143895847,10.790578697563847,1,14,294.11,1
0.0,12240.0,1,11,12.24,2
12.24624892741313,5.270185212022575,1,12,64.54,1
1.692222916800529,183.36236728590262,1,12,310.29,1
10.389465943817047,7.443115980953808,1,12,77.33,1
17.56008177830176,11.141178182993654,1,10,195.64,1
5.269287949986756,11.231118997804769,1,9,59.18,1
11.050359784398836,2.9419856578695653,1,12,32.51,1
15.48264038100262,26.33659311110308,1,11,407.76,1
15.779546772127656,30.133311613226184,1,13,475.49,1
23.240366409070855,9.479196503288158,1,11,220.3,1
12.901459814452839,0.8564922232770323,1,12,11.05,4
24.139791412646474,4.794573325905606,1,10,115.74,1
10.120584934210864,9.70299648077179,1,11,98.2,1
25.98311871021051,11.33389733866994,1,14,294.49,1
13.34743356756502,0.5888772519610229,1,6,7.86,6
11.68411580228173,2.2492074235405917,1,11,26.28,1
11.273437699458347,31.82702646391874,1,12,358.8,1
12.969018979242827,1.768830783324161,1,10,22.94,3
13.142396769404952,7.932343074795186,1,11,104.25,1
12.706070829339092,9.704022719225899,1,12,123.3,1
13.434511294738021,1.486470148551051,1,12,19.97,1
15.726588978618036,1.301617281905894,1,12,20.47,2
14.413989144647873,20.303192756924286,1,11,292.65,1
15.646213253457427,36.87026315281263,1,11,576.88,1
23.75622409800247,6.330551495877051,1,12,150.39,1
7.57816263420973,11.149140507831135,1,11,84.49,1
15.268863000460597,3.103047030978715,1,12,47.38,1
13.410423109623121,3.9596066109126884,1,11,53.1,1
26.52145273063775,10.428915897223135,1,8,276.59,1
25.87073122836628,53.10286701497131,3,12,1373.81,1
11.967245663909324,11.04849049758772,1,10,132.22,1
13.811369097801668,9.017932915848611,1,14,124.55,1
11.6792160707073,3.22710015568001,1,11,37.69,2
11.218780652361371,4.769680561384094,2,12,53.51,1
27.221162022507382,8.84495672157284,1,12,240.77,1
23.73129904951621,7.561743654469614,2,12,179.45,1
11.799487795882644,30.44199936588269,1,12,359.2,1
10.026224842341618,2.1992325473174046,1,11,22.05,3
5.756422729534097,16.286156247525582,1,11,93.75,1
14.982510271568252,26.12713042772545,1,9,391.45,1
5.863665639481101,11.51839210360857,1,11,67.54,1
12.569676860003694,24.68559879906959,1,12,310.29,1
15.195567150511428,19.225343622015952,1,11,292.14,1
9.263449016703369,4.029816532987712,2,11,37.33,2
6.31676649125727,21.913110163495897,1,12,138.42,1
27.218752417249256,7.533776598447178,1,8,205.06,1
25.962346315315777,1.2903302187382653,1,8,33.5,3
13.378222411567329,6.070313192714055,1,11,81.21,1
9.700245268386787,5.036986039851519,1,12,48.86,2
3.776695322967135,19.051046972852703,1,10,71.95,1
12.240797839873725,9.86537001751887,2,12,120.76,1
